name,id,ra,dec,z_spec_or_phot,x_mpc,y_mpc,z_mpc,note,survey,z_num,id_msa,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_dr3,sep_dr3,X,Y,Z_coord
UNCOVER-52006,52006.0,3.5372661497599416,-30.35541991728073,16.98034765140359,9196.142161180462,568.4640922037032,-5396.010834662103,filament candidate,UNCOVER,16.98034765140359,,,,,,,,,,,,,,,,,,,,9196.142161180462,568.4640922037032,-5396.010834662103
UNCOVER-52029,52029.0,3.5369204974864816,-30.35537839156797,16.772948197206112,9177.421310720909,567.2512767276866,-5385.0150626708055,filament candidate,UNCOVER,16.772948197206112,,,,,,,,,,,,,,,,,,,,9177.421310720909,567.2512767276866,-5385.0150626708055
UNCOVER-52094,52094.0,3.537404642919504,-30.35524053510104,18.042294167125423,9287.201560439307,574.1155086167136,-5449.403354761465,filament candidate,UNCOVER,18.042294167125423,,,,,,,,,,,,,,,,,,,,9287.201560439307,574.1155086167136,-5449.403354761465
UNCOVER-52099,52099.0,3.5772870816528206,-30.355231771529517,16.498493353978844,9151.740315345176,572.1365382266805,-5370.149954891649,filament candidate,UNCOVER,16.498493353978844,,,,,,,,,,,,,,,,,,,,9151.740315345176,572.1365382266805,-5370.149954891651
UNCOVER-52110,52110.0,3.573567733057424,-30.35538553938164,18.8282414828146,9349.433003338434,583.8863444004194,-5486.165563441506,filament candidate,UNCOVER,18.8282414828146,,,,,,,,,,,,,,,,,,,,9349.433003338434,583.8863444004194,-5486.165563441506
UNCOVER-52154,52154.0,3.537577674544277,-30.355199746325177,17.848809932338863,9271.191422642729,573.1539008908179,-5440.001303602472,filament candidate,UNCOVER,17.848809932338863,,,,,,,,,,,,,,,,,,,,9271.191422642729,573.1539008908178,-5440.001303602472
UNCOVER-52197,52197.0,3.5248792389998966,-30.35508969975224,15.415633684404485,9046.353625371716,557.2416397927518,-5307.9786047289845,filament candidate,UNCOVER,15.415633684404485,,,,,,,,,,,,,,,,,,,,9046.353625371714,557.2416397927517,-5307.978604728984
UNCOVER-52230,52230.0,3.5358160842050244,-30.355002339226505,18.08752798434383,9290.948335961222,574.0885456136793,-5451.540517440129,filament candidate,UNCOVER,18.08752798434383,,,,,,,,,,,,,,,,,,,,9290.948335961222,574.0885456136793,-5451.540517440129
UNCOVER-52291,52291.0,3.557830974119611,-30.354911190720827,16.99771814480536,9197.539154727268,571.8643527628835,-5396.840751590771,filament candidate,UNCOVER,16.99771814480536,,,,,,,,,,,,,,,,,,,,9197.539154727267,571.8643527628835,-5396.840751590771
UNCOVER-52326,52326.0,3.5377749427047127,-30.354823978152343,18.384471120293504,9314.965302190958,575.8922377029503,-5465.605202718311,filament candidate,UNCOVER,18.384471120293504,,,,,,,,,,,,,,,,,,,,9314.965302190958,575.8922377029503,-5465.605202718311
UNCOVER-52362,52362.0,3.537821090354066,-30.354755194800184,18.32677398223704,9310.347700384962,575.6142846752941,-5462.881033359665,filament candidate,UNCOVER,18.32677398223704,,,,,,,,,,,,,,,,,,,,9310.347700384964,575.6142846752942,-5462.881033359666
UNCOVER-52453,52453.0,3.557866536942904,-30.35457746806412,15.790985189753345,9083.95202997794,564.8076425394403,-5330.120237727749,filament candidate,UNCOVER,15.790985189753345,,,,,,,,,,,,,,,,,,,,9083.952029977938,564.8076425394402,-5330.1202377277505
UNCOVER-52474,52474.0,3.579761141846763,-30.354541506779704,11.872180334000884,8610.208017719524,538.6549770697902,-5052.258266898112,filament candidate,UNCOVER,11.872180334000884,,,,,,,,,,,,,,,,,,,,8610.208017719524,538.6549770697902,-5052.258266898112
UNCOVER-52607,52607.0,3.5655165627963323,-30.35431991216558,10.994873873974928,8473.639137042723,527.996337830919,-4972.001731571853,filament candidate,UNCOVER,10.994873873974928,,,,,,,,,,,,,,,,,,,,8473.639137042723,527.996337830919,-4972.001731571853
UNCOVER-52643,52643.0,3.5752881793580302,-30.354269338815783,16.292653069486366,9132.48622434644,570.6129826586092,-5358.633743097964,filament candidate,UNCOVER,16.292653069486366,,,,,,,,,,,,,,,,,,,,9132.486224346441,570.6129826586092,-5358.633743097963
UNCOVER-52680,52680.0,3.584349638400954,-30.35467494588928,19.75172204806287,9418.35517467864,589.9699161892922,-5526.516360827282,filament candidate,UNCOVER,19.75172204806287,,,,,,,,,,,,,,,,,,,,9418.355174678638,589.9699161892921,-5526.516360827284
UNCOVER-52716,52716.0,3.5751324131759272,-30.35414953076002,17.012127308788152,9198.72484134796,574.7265764298309,-5397.473522252614,filament candidate,UNCOVER,17.012127308788152,,,,,,,,,,,,,,,,,,,,9198.724841347961,574.7265764298309,-5397.473522252614
UNCOVER-52745,52745.0,3.5318749950633337,-30.354084993638438,17.07803605295825,9205.030527932744,568.1440938142723,-5400.906291043252,filament candidate,UNCOVER,17.07803605295825,,,,,,,,,,,,,,,,,,,,9205.030527932744,568.1440938142723,-5400.906291043252
UNCOVER-52865,52865.0,3.5806124564390585,-30.353820048663373,17.737269889641674,9261.545935548294,579.540853703848,-5434.295466124121,filament candidate,UNCOVER,17.737269889641674,,,,,,,,,,,,,,,,,,,,9261.545935548294,579.540853703848,-5434.295466124121
UNCOVER-52947,52947.0,3.580188157233212,-30.35363487812724,18.452413466557648,9320.067742704035,583.1335641458588,-5468.590599690081,filament candidate,UNCOVER,18.452413466557648,,,,,,,,,,,,,,,,,,,,9320.067742704034,583.1335641458587,-5468.590599690083
