id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_dr3,sep_dr3,z_num,name,id,z_spec_or_phot,x_mpc,y_mpc,z_mpc,note,survey,X,Y,Z_coord
,3.476983158871618,-30.339468451549628,,,,,,,,,,,,,,,,,,,5.968474421982163,UNCOVER-60262,60262,5.968474421982163,7246.238538168325,440.2771608730232,-4248.879849532768,filament candidate,UNCOVER,7246.238538168325,440.2771608730232,-4248.879849532768
,3.4665502042625493,-30.339297751981047,,,,,,,,,,,,,,,,,,,5.63119051371331,UNCOVER-60272,60272,5.63119051371331,7116.670042967205,431.1040160259958,-4172.831890820315,filament candidate,UNCOVER,7116.670042967205,431.1040160259958,-4172.831890820315
,3.4739276839279056,-30.339241176749205,,,,,,,,,,,,,,,,,,,8.145843812650147,UNCOVER-60312,60312,8.145843812650147,7903.228670550578,479.7724734082757,-4634.05318038479,filament candidate,UNCOVER,7903.2286705505785,479.77247340827574,-4634.05318038479
,3.4816628249806376,-30.33922128625884,,,,,,,,,,,,,,,,,,,7.898468064530377,UNCOVER-60332,60332,7.898468064530377,7840.852489135472,477.0483258504831,-4597.513005267361,filament candidate,UNCOVER,7840.852489135472,477.0483258504831,-4597.513005267361
,3.4737980251662712,-30.339201190801425,,,,,,,,,,,,,,,,,,,5.750039430924536,UNCOVER-60336,60336,5.750039430924536,7163.411353552147,434.84493973131634,-4200.25445892392,filament candidate,UNCOVER,7163.4113535521465,434.8449397313163,-4200.2544589239205
,3.476170321076023,-30.339125234922797,,,,,,,,,,,,,,,,,,,5.935715094823071,UNCOVER-60357,60357,5.935715094823071,7234.090221857748,439.4360297502355,-4241.694662944737,filament candidate,UNCOVER,7234.090221857748,439.4360297502355,-4241.6946629447375
,3.468689110966829,-30.33912189680031,,,,,,,,,,,,,,,,,,,6.059404187001078,UNCOVER-60358,60358,6.059404187001078,7279.693121108543,441.2521634498066,-4268.399444475949,filament candidate,UNCOVER,7279.693121108543,441.2521634498066,-4268.399444475949
,3.5422074083895416,-30.339175425910923,,,,,,,,,,,,,,,,,,,6.657513298815921,UNCOVER-60359,60359,6.657513298815921,7483.617461773481,463.2513939045104,-4388.323442986754,filament candidate,UNCOVER,7483.617461773481,463.2513939045104,-4388.323442986754
,3.548700964412418,-30.33914494795884,,,,,,,,,,,,,,,,,,,6.672202714562514,UNCOVER-60370,60370,6.672202714562514,7488.288076650433,464.3924497572024,-4391.0877242886745,filament candidate,UNCOVER,7488.288076650433,464.3924497572024,-4391.0877242886745
,3.576834631365251,-30.33912050658804,,,,,,,,,,,,,,,,,,,7.111902512492801,UNCOVER-60401,60401,7.111902512492801,7623.396902815405,476.52912726423307,-4470.447034442451,filament candidate,UNCOVER,7623.396902815405,476.52912726423307,-4470.447034442451
