Unique_ID,PID,TIER,Tier_old,NIRSpec_ID,NIRCam_DR5_ID,NIRCam_DR3_ID,ObsDate,RA_TARG,Dec_TARG,x_offset,y_offset,Field,GSa,GSb,PC_eMPT,Priority,oddball_source,PC_eMPT_pre_oddball,priority_pre_oddball,probability_allocated,F444W_gold_DR3,UV_gold_DR3,F444W_gold_DR5_beta,UV_gold_DR5_beta,assigned_Prism,assigned_G140M,assigned_G235M,assigned_G395M,assigned_G395H,nDither_Pr,nDither_Gr,nInt_Prism,nInt_G140M,nInt_G235M,nInt_G395M,nInt_G395H,tExp_PRISM,tExp_G140M,tExp_G235M,tExp_G395M,tExp_G395H,z_phot,z_Spec,z_paper,z_paper_name,z_paper_ref,z_R1000,z_R1000n,z_PRISM,z_Spec_flag,1500A_flux,1500A_flux_err,MUV,MUV_err_u,MUV_err_l,Hbeta,[OIII]5007,Halpha_NII,[OII]3727,fits_map,RA_TRUE,DEC_TRUE,X,Y,Z_coord
b'goods-s-mediumjwst_48386',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',48386,48386,48386,b'2023-12-11',53.0590738,-27.8645468,0.002,-0.061,b'GS',False,True,19,b'8',,-99,,0.04401122433909319,0,0,0,0,b'T',b'T',b'T',b'T',b'T',2,1,6,1,3,3,3,5689.0,2844.0,2844.0,2844.0,2844.0,3.4273,3.4273,,,,,,3.4273,b'C',3.5904794427146886e-20,2.1354209167153548e-20,-17.098441634565898,0.5067283543958965,0.9806799561557646,,,,,b'https://jades.idies.jhu.edu/public/?ra=53.05907&dec=-27.86455&zoom=10',53.05907435555556,-27.864563744444443,3661.336396896396,4869.194722952139,-3220.8113062725597
b'goods-s-mediumjwst_51204',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',51204,126242,-1,b'2023-01-13',53.133297,-27.7803726,0.058,0.104,b'GS',True,False,13,b'7.6',,-99,,0.19469026548672566,-1,-1,1,0,b'T',b'T',b'T',b'T',b'T',3,3,9,4,9,9,9,7877.0,9190.0,9190.0,9190.0,7877.0,3.56564,3.4726314896484736,,,,3.4726314896484736,5.0,3.477517,b'A',2.5443166580791987e-20,1.3125283365147831e-20,-16.76214868094338,0.4516525592928282,0.7875876976460496,121.16253644835024,772.9412121873221,383.3176180692606,,b'https://jades.idies.jhu.edu/public/?ra=53.1333&dec=-27.78037&zoom=10',53.13331311111111,-27.78034371111111,3677.962401559789,4904.522430105703,-3229.503540423473
b'goods-s-mediumjwst_51318',1180,b'goods-s-mediumjwst',b'medium_jwst_gs_1180',51318,208077,208077,b'2023-01-28',53.1332626,-27.7798729,0.066,0.166,b'GS',True,False,14,b'7.7',,-99,,0.15246636771300448,1,0,1,0,b'T',b'T',b'T',b'T',b'T',2,2,6,3,6,6,0,7440.0,6127.0,6127.0,6127.0,0.0,3.51,3.4688265540125944,,,,3.4688265540125944,4.0,3.474559,b'A',3.5265708472023216e-19,2.5142347845050937e-20,-19.614399784522536,0.07477172063099147,0.08030441683843392,142.38694736218264,626.0748237343421,584.5965733891996,266.8244394283189,b'https://jades.idies.jhu.edu/public/?ra=53.13326&dec=-27.77987&zoom=10',53.13328093333334,-27.77982678888889,3676.306859101038,4902.309046461617,-3227.9768175888566
b'goods-s-mediumjwst_52754',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',52754,52754,52754,b'2023-12-11',53.0839735,-27.8617171,-0.028,-0.024,b'GS',False,True,15,b'7.6',,-99,,0.15527065527065528,1,0,1,0,b'T',b'F',b'F',b'F',b'F',3,0,9,0,0,0,0,8534.0,0.0,0.0,0.0,0.0,3.61689,3.476826,,,,,,3.476826,b'B',1.3315874662897306e-19,1.2854806426745465e-20,-18.55863068154552,0.10005867610016139,0.11022461761832147,78.10124330784086,210.1335243652501,152.72104082611045,,b'https://jades.idies.jhu.edu/public/?ra=53.08397&dec=-27.86172&zoom=10',53.083965722222224,-27.861723766666668,3681.271955530031,4900.137288932404,-3239.831925160667
b'goods-s-mediumjwst_52803',1180,b'goods-s-mediumjwst',b'medium_jwst_gs_1180',52803,129100,129100,b'2023-01-28',53.1323357,-27.7760448,-0.046,-0.076,b'GS',True,False,13,b'7.6',,-99,,0.19469026548672566,1,0,1,0,b'T',b'T',b'T',b'T',b'T',2,2,6,3,6,6,0,7440.0,6127.0,6127.0,6127.0,0.0,-1.0,3.4678825774448616,,,,3.4678825774448616,3.0,3.460355,b'A',1.1813156094510007e-19,1.1772518722400025e-20,-18.41632939501858,0.10314211950829844,0.11397881201080651,,341.09693954759035,190.50355059569813,,b'https://jades.idies.jhu.edu/public/?ra=53.13234&dec=-27.77604&zoom=10',53.13232292222222,-27.77606591111111,3676.0998477456587,4901.8622389717,-3227.2093091482725
b'goods-s-mediumjwst_54461',1180,b'goods-s-mediumjwst',b'medium_jwst_gs_1180',54461,210751,210751,b'2023-01-28',53.1880684,-27.7715931,-0.079,0.167,b'GS',True,False,14,b'7.7',,-99,,0.15246636771300448,1,0,1,0,b'T',b'T',b'T',b'T',b'T',2,2,6,3,6,6,0,7440.0,6127.0,6127.0,6127.0,0.0,3.4219,3.421788081016524,,,,3.421788081016524,3.0,3.425301,b'A',3.047180158473197e-19,4.8741800440424654e-20,-19.41879476888236,0.16110478903268444,0.1892462950519338,140.40167158948287,448.28300526992865,464.3589607412662,245.1694034449034,b'https://jades.idies.jhu.edu/public/?ra=53.18807&dec=-27.77159&zoom=10',53.18804645555556,-27.77154671111111,3651.0330943627164,4878.314494252457,-3208.753145318543
b'goods-n-mediumjwst_56785',1181,b'goods-n-mediumjwst',b'medium_jwst_gn',56785,1056785,1118035,b'2023-05-05',189.3147108660292,62.202385647863586,-0.027,-0.03,b'GN',False,False,14,b'7.7',,-99,,0.13626126126126126,1,0,1,0,b'T',b'T',b'T',b'T',b'T',1,1,3,3,3,3,3,3063.0,3063.0,3063.0,3063.0,3063.0,3.25677,3.436077769250497,,,,3.436077769250497,6.0,3.426458,b'A',1.872510088609691e-19,3.6923828334870926e-20,-18.890984566850058,0.19540674195949492,0.23846663538508395,228.1051526748604,1831.9826854083117,745.6071478593304,348.2457100441615,b'https://jades.idies.jhu.edu/goods-n/?ra=189.31471&dec=62.20239&zoom=10',189.3147033660292,62.20237731453025,-3174.7113270336367,-520.7155008127569,6102.44702788793
b'goods-s-mediumjwst_61631',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',61631,61631,61631,b'2023-12-11',53.031153,-27.8568535,0.063,-0.042,b'GS',False,True,22,b'8.3',,-99,,0.021899668958492487,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,3,1,3,3,3,2844.0,2844.0,2844.0,2844.0,2844.0,1.41433,3.4668812623264538,,,,3.4668812623264538,2.0,3.461924,b'A',1.9478021116528434e-20,4.698595818992271e-20,-16.460450161798782,1.3326037682797889,,,188.79256736495043,114.96419167364353,,b'https://jades.idies.jhu.edu/public/?ra=53.03115&dec=-27.85685&zoom=10',53.0311705,-27.856865166666665,3681.5652750645777,4891.136160893741,-3235.4580492308805
b'goods-n-mediumjwst_71890',1181,b'goods-n-mediumjwst',b'medium_jwst_gn',71890,1071890,1071890,b'2023-05-05',189.27551537141665,62.16667188696512,0.027,0.213,b'GN',False,False,10,b'7.3',,-99,,0.36666666666666664,1,0,1,0,b'T',b'T',b'T',b'T',b'T',3,3,9,9,9,9,9,9190.0,9190.0,9190.0,9190.0,9190.0,3.33342,3.4138963267900295,,,,3.4138963267900295,11.0,3.414266,b'A',4.0281681643409437e-19,4.7205996897224133e-20,-19.713460195525844,0.1203173438541576,0.13533156697929627,529.6246168249055,2349.121780279298,2406.4086751182804,798.7495205634227,b'https://jades.idies.jhu.edu/goods-n/?ra=189.27552&dec=62.16667&zoom=10',189.27552287141665,62.166731053631786,-3170.2036939046748,-517.7502117390052,6083.922224355043
b'goods-s-mediumjwst_79701',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',79701,79701,79701,b'2023-12-11',53.0541393,-27.8421859,-0.05,0.063,b'GS',False,True,22,b'8.3',,-99,,0.021899668958492487,0,0,0,0,b'T',b'T',b'T',b'T',b'T',3,3,9,4,9,9,9,8534.0,8534.0,8534.0,8534.0,8534.0,2.78925,3.47563,,,,,,3.47563,b'C',5.0251329583950655e-21,1.3424019330215711e-20,-14.999684837514145,1.412072146643112,,,,,,b'https://jades.idies.jhu.edu/public/?ra=53.05414&dec=-27.84219&zoom=10',53.054125411111116,-27.842168400000002,3683.9614630737356,4898.4028120155535,-3237.2772885263494
